LandValue,BuildingValue,Acres,AboveSpace,Basement,Deck,Baths,Toilets,Fireplaces,Beds,Rooms,AC,Age,Car,Condition,Price
12300,56700,0.15,913,0,162,1,0,0,3,2,1,61.9,0,Average,72560
23700,114900,0.22,1400,0,568,1,1,0,4,3,1,37.7,0,Good,125321
16800,91700,0.23,1066,500,184,1,0,1,2,3,1,50,378,Good,127545
21300,93600,0.17,912,300,0,1,0,0,3,2,1,48.8,0,Good,125679
19900,95800,0.23,1454,336,0,2,1,1,2,4,1,78.9,422,Good,117333
16800,89700,0.15,840,0,144,1,0,0,3,2,1,36.8,0,Good,103096
16700,79700,0.15,884,0,0,1,0,0,3,2,1,37.8,0,Good,86404
16700,62000,0.15,720,0,0,1,0,0,2,2,1,37.9,0,Good,66276
17800,149800,0.3,916,500,143,2,0,1,3,3,1,8.9,0,Average,132061
30100,55200,0.92,772,0,160,1,0,0,1,2,0,70,0,Average,68731
15900,92600,0.45,1048,300,235,2,0,0,2,4,1,67.9,0,Good,115370
14600,57800,0.18,962,500,0,2,0,0,2,3,1,47.7,0,Poor,43862
11500,55800,0.15,864,0,0,1,0,0,2,2,1,48.7,0,Average,79048
15800,44300,0.22,616,0,0,1,0,0,2,2,0,55.9,0,Average,46639
15000,59000,0.16,692,0,72,1,0,0,2,3,1,82.8,0,Good,77120
15000,49100,0.16,712,0,0,1,0,0,2,3,0,62.8,0,Good,83459
21500,113400,0.17,1158,500,168,1,1,1,3,2,1,44.9,0,Good,131570
21500,116900,0.28,1745,140,0,3,0,0,4,4,1,51.8,0,Good,132552
17800,112800,0.15,1627,0,0,1,0,1,3,4,1,53,0,Good,131767
15600,58200,0.17,720,0,0,1,0,0,2,2,1,47.9,0,Good,47130
15200,68500,0.16,936,0,0,1,0,1,2,3,1,84.8,0,Good,98089
16800,22200,0.18,891,0,632,1,0,0,2,2,1,57.9,0,Good,93278
15300,78000,0.17,1064,0,128,1,0,1,2,3,1,53.9,0,Good,75604
15000,73600,0.16,720,360,0,1,0,0,1,3,1,46.7,0,Good,86760
15500,57100,0.17,698,0,0,1,0,0,2,2,1,65.8,0,Good,96223
25600,108300,0.49,1673,0,80,1,1,0,3,4,1,64,0,Good,175755
17800,22500,0.22,504,0,0,1,0,0,1,2,0,93.9,0,Poor,24547
16800,43000,0.18,590,0,60,1,0,0,2,2,0,40.9,0,Good,58421
18400,39800,0.29,996,0,0,1,0,0,2,2,0,70.7,0,Poor,59768
15700,129200,0.23,1098,550,222,2,1,0,3,3,1,46.7,0,Good,134864
16100,65600,0.15,768,0,0,1,0,0,2,2,1,60,0,Good,77568
16000,56000,0.15,897,0,0,1,0,0,2,2,0,58.8,0,Poor,66420
16000,87000,0.15,880,0,0,1,0,0,3,2,1,51.7,0,Good,89652
17200,83900,0.19,923,0,0,1,0,0,3,2,1,51.8,280,Good,109969
16800,108400,0.19,1510,400,0,2,0,0,4,1,1,54.8,0,Good,132552
14200,81600,0.15,1207,0,0,1,1,0,3,4,0,57.9,0,Good,95978
17000,69400,0.16,797,400,0,1,0,0,2,3,1,67,0,Average,95241
14200,39300,0.15,748,0,0,1,0,0,2,3,0,95.9,0,Poor,63821
12700,40700,0.17,616,0,0,1,0,0,2,2,0,84,0,Good,66276
16000,81200,0.15,884,0,0,1,0,0,2,3,1,50.8,0,Good,98187
16400,57300,0.16,1116,0,0,1,1,0,2,3,0,102.9,0,Average,37311
18800,87200,0.16,1240,0,144,1,0,0,3,2,1,54.7,0,Good,118862
16700,67700,0.15,1187,0,0,1,0,0,2,3,1,58.7,0,Average,96400
16400,76400,0.15,720,0,0,1,0,0,2,2,1,52.9,240,Good,88368
