LandValue,BuildingValue,Acres,AboveSpace,Basement,Deck,Baths,Toilets,Fireplaces,Beds,Rooms,AC,Age,Car,Condition,Price
26300,100000,0.44,1152,700,0,2,0,0,2,2,1,52.7,0,Good,125321
30000,151100,0.24,1217,676,200,2,1,1,3,3,1,6.5,758,Average,168701
30500,197000,0.28,1931,0,200,2,1,1,4,3,1,3.2,748,Average,199900
32900,134300,0.19,1177,400,120,2,1,1,3,4,1,11.4,152,Average,162125
33000,163900,0.19,2235,0,100,2,1,1,3,4,1,9.3,440,Average,200294
33100,166000,0.2,1732,0,0,2,1,1,3,4,1,5.1,744,Average,204000
36900,140900,0.21,1475,0,120,2,1,1,3,2,1,2.4,420,Average,178442
34500,169200,0.23,1481,0,0,2,1,1,3,3,1,3.1,460,Average,162000
16200,68300,0.2,672,336,0,1,0,0,2,2,0,54.4,0,Average,98286
22600,73100,0.37,660,0,0,1,0,0,2,2,1,68.3,0,Average,62025
17500,72700,0.17,928,0,168,1,0,1,2,2,1,81.7,0,Good,92544
34300,37600,0.43,1008,0,0,1,0,0,2,2,0,48.3,0,Average,63934
31300,114500,0.27,1432,0,432,2,1,0,3,2,1,18.7,440,Average,144504
29300,108300,0.2,1054,600,128,1,0,0,3,4,1,17.3,0,Average,141943
17700,97600,0.24,1404,364,60,1,0,1,4,2,0,51.2,0,Good,132000
23000,151700,0.19,1255,0,100,2,0,1,2,2,1,4.5,600,Average,159061
20200,110400,0.2,969,460,240,1,1,0,3,3,1,38.5,0,Good,134189
20400,81900,0.19,816,0,0,1,0,1,2,2,1,44.4,0,Good,108497
19500,94300,0.17,960,0,264,1,0,0,3,2,1,37.1,0,Good,124900
18800,48400,0.18,812,0,120,1,0,0,3,2,0,65.4,360,Average,63934
17200,49100,0.17,660,0,0,1,0,0,2,2,0,54.7,0,Average,72734
22100,31000,0.3,432,0,0,1,0,0,1,2,0,58.5,0,Average,33494
20400,67200,0.22,960,0,0,1,0,0,2,3,1,84.4,0,Good,90652
17100,57800,0.14,858,0,0,1,0,0,2,3,1,83.4,0,Average,74908
15600,63100,0.16,768,300,120,1,0,0,2,2,1,56.5,0,Good,81940
29900,102300,0.27,1048,480,0,1,1,0,4,1,1,34.7,0,Good,147849
20600,86900,0.18,864,0,0,1,0,0,3,2,1,39.3,0,Good,122142
22100,133300,0.18,1281,0,384,1,2,1,3,3,1,35.1,0,Good,130000
18200,98400,0.17,894,0,100,1,0,0,3,2,1,26.6,0,Good,123740
18100,70800,0.16,768,0,178,1,0,0,3,2,0,39.5,0,Average,87790
17600,81400,0.21,970,156,192,1,1,0,3,2,1,51.4,0,Good,102103
17600,86600,0.21,864,432,144,2,0,0,2,3,1,51.5,0,Good,113656
18900,80100,0.17,1048,300,0,1,0,0,3,2,1,67.7,0,Good,98810
18000,60600,0.29,672,336,0,1,0,0,2,2,1,52.4,0,Good,59449
18800,74000,0.16,778,0,48,1,0,0,3,2,1,36.4,0,Good,100672
22400,72400,0.33,888,0,216,1,0,0,2,2,1,83.4,0,Good,85881
19700,75000,0.21,900,0,0,1,0,0,3,2,1,36.2,0,Good,124900
20000,68400,0.23,792,0,48,1,0,0,3,2,1,46.6,0,Good,102666
16600,43700,0.14,1024,0,224,1,0,0,3,2,0,64.4,0,Good,52483
13700,70700,0.12,720,0,60,1,0,0,2,2,0,68.4,0,Good,87551
18300,84900,0.17,864,0,40,1,0,0,3,2,1,41.2,0,Good,123400
18300,88000,0.17,864,200,0,1,0,0,3,2,1,41.6,312,Good,109896
32200,173800,0.22,1786,728,120,3,1,1,3,3,1,10.4,735,Average,196573
32600,222200,0.23,1928,0,0,2,1,1,3,3,1,7.3,516,Average,209932
22600,129300,0.25,1871,0,0,2,0,1,3,4,1,51.6,576,Average,144504
23200,96800,0.28,1564,350,0,1,2,1,3,2,1,50.3,0,Good,158403
23400,165900,0.32,3036,0,0,1,2,1,4,3,1,51.3,468,Good,184549
20600,74000,0.2,925,0,0,1,0,0,2,2,1,49.1,288,Good,105000
16300,74200,0.2,960,0,0,1,0,0,3,2,1,48.6,0,Average,73264
35400,95700,0.49,1280,0,0,1,1,1,3,2,1,50.4,330,Average,109737
34000,105800,0.33,1016,500,0,1,1,1,3,2,1,39.3,528,Good,127581
13100,42900,0.17,695,0,0,1,0,0,2,2,0,60.8,0,Good,68731
18400,69300,0.17,1308,386,0,2,0,0,2,3,0,39.1,0,Poor,40000
24500,91900,0.17,938,0,0,1,0,0,2,2,1,60.9,280,Good,120770
64600,185000,0.58,2326,0,66,2,1,1,4,4,0,91,0,Good,304379
29900,254600,0.31,2195,0,100,2,1,1,3,4,1,2.5,624,Average,240905
24700,94300,0.16,938,0,100,1,0,1,2,3,1,70.6,0,Good,120983
18100,64800,0.16,796,300,0,1,0,0,2,2,1,56.1,0,Good,102000
60600,125600,0.27,1129,500,333,2,0,1,2,3,1,78.9,0,Good,195392
25200,94000,0.16,1496,0,0,1,0,0,3,3,1,82.6,0,Good,149421
20400,86100,0.11,1075,0,288,1,0,0,3,3,0,96.9,0,Average,109478
18800,50900,0.17,768,0,142,1,0,0,2,3,0,97.8,0,Good,80022
22800,111100,0.23,1306,0,0,1,1,0,3,2,1,52,504,Good,130000
16800,58200,0.16,768,0,0,1,0,0,2,2,1,79.6,0,Good,86760
27700,114800,0.2,1091,0,0,1,2,0,2,2,1,18.6,0,Average,139781
11000,74300,0.15,1236,0,0,1,0,1,2,4,0,88.8,0,Average,86760
16000,98400,0.15,750,350,70,1,1,0,3,2,1,32.4,0,Good,113554
8600,59700,0.11,768,0,0,1,0,0,3,2,1,77,0,Good,73542
17000,55500,0.17,1160,0,0,1,0,0,3,3,0,117.2,0,Poor,26500
15400,72700,0.23,1463,0,0,1,0,0,5,3,1,72.5,0,Good,99292
25800,104500,0.28,1092,250,100,2,0,0,3,2,1,18.6,0,Average,137371
36100,139300,0.26,1610,0,119,1,1,1,3,3,1,75.3,0,Good,166991
23200,35000,0.61,720,0,0,1,0,0,2,2,0,70.8,288,Poor,39177
16800,63300,0.18,1050,0,0,1,0,1,4,2,0,56.2,0,Poor,39000
16500,54600,0.17,616,0,0,1,0,0,2,2,1,66.4,0,Good,62025
24500,111200,0.16,1386,0,0,1,1,0,3,3,1,68.1,214,Good,162000
22100,58400,0.3,1288,0,0,1,0,0,3,3,0,92.8,0,Poor,24547
21500,47600,0.14,748,0,60,1,0,1,2,2,0,86.7,0,Poor,45308
26900,90600,0.16,1120,0,148,1,0,0,2,3,1,91.9,0,Poor,98187
18800,82400,0.19,816,196,160,1,1,0,3,2,1,52.4,0,Good,109642
11900,60200,0.16,651,0,0,1,0,0,2,2,1,35.1,0,Average,76500
16300,66800,0.16,981,0,0,1,0,0,3,3,0,98.7,0,Good,80976
55500,243300,0.26,2282,800,144,3,1,1,4,3,1,3.9,672,Average,283269
25900,65900,0.16,904,300,0,1,0,1,2,3,1,88.3,0,Good,119184
24100,164300,0.38,1170,900,120,2,0,1,4,1,1,31.3,720,Good,168423
20100,83900,0.22,1025,0,120,1,0,0,3,2,1,48.8,315,Good,105060
27500,65100,0.16,1157,0,0,1,0,1,3,2,1,87.5,0,Good,119280
25000,91700,0.19,820,0,0,1,0,0,2,2,1,62.4,0,Good,136456
26700,94700,0.19,1034,300,264,1,1,0,3,2,1,39.4,0,Good,140273
54900,307800,0.35,2252,606,759,2,2,1,3,7,1,29.6,484,Good,320049
21500,78600,0.45,888,450,140,1,0,0,3,2,1,40.4,0,Good,98286
32400,142200,0.23,1004,320,100,2,1,1,3,3,1,4.6,160,Average,173521
24900,139400,0.24,1264,370,160,2,1,1,4,3,1,33,220,Good,155135
32700,77400,0.2,960,0,0,1,0,0,3,2,1,59.4,0,Average,114508
33300,80800,0.33,908,0,0,1,0,0,2,3,1,63.7,0,Good,91580
9600,51000,0.12,1123,0,0,1,0,0,3,2,1,81.9,0,Good,84932
14100,42600,0.15,748,0,70,1,0,0,2,2,0,96.6,0,Good,68444
26900,98600,0.17,1157,144,0,1,0,1,2,3,0,70.1,0,Good,130000
8100,55200,0.22,1176,0,98,1,0,0,5,4,1,79.1,0,Good,50000
14200,78600,0.2,864,400,0,1,0,0,3,2,1,49.2,0,Good,95000
29600,86200,0.23,988,0,0,1,0,0,3,2,1,52.4,0,Good,120234
26700,100700,0.19,1034,425,210,1,1,0,4,1,1,37.4,0,Good,147811
28900,123300,0.16,1479,0,0,2,0,0,4,2,1,56.2,0,Good,185000
35100,58500,0.45,748,0,144,1,0,0,2,2,1,70.5,0,Good,109737
11400,60800,0.15,893,0,0,1,0,0,2,2,1,93.6,208,Good,84167
35200,68800,1.25,1152,0,0,1,0,0,2,3,1,84.2,0,Poor,40000
46500,134000,0.28,1600,0,100,2,1,0,3,2,1,1.6,480,Average,173424
18700,73900,0.16,983,200,168,1,0,0,2,3,1,67,0,Good,116597
28000,54100,0.2,622,0,168,1,0,0,2,2,1,59.5,0,Good,97364
18000,91400,0.17,969,312,130,1,0,0,3,2,1,34.7,0,Good,128116
16400,107500,0.3,1914,0,0,1,0,0,4,4,0,87.7,0,Good,128213
34200,125100,0.22,1032,400,120,2,1,1,3,3,1,3.8,160,Average,157099
15600,96600,0.15,1188,0,0,1,0,0,3,3,0,51.2,0,Good,117900
32200,134300,0.34,1158,230,395,1,1,1,3,2,1,36.5,0,Good,154241
32900,157700,0.22,2070,0,0,2,0,2,4,3,1,66.5,0,Good,214703
20800,71200,0.2,816,0,0,1,0,0,3,2,1,89.9,0,Good,111933
23900,93100,0.16,763,0,388,1,0,1,2,2,1,58.2,0,Good,126000
32900,99200,0.35,1190,0,0,1,0,0,2,3,1,60.2,0,Good,103500
22500,42700,0.32,784,0,275,1,0,0,3,3,0,80,0,Good,63821
23500,165900,0.15,1928,0,120,2,1,1,4,3,1,5.7,400,Average,184896
25100,75300,0.18,672,300,0,1,0,0,2,2,1,58,0,Good,103000
18200,79300,0.19,800,336,0,1,0,1,2,2,1,61.5,0,Good,103727
24300,90400,0.16,823,0,200,1,0,0,2,3,1,70.3,0,Good,138364
25700,101200,0.19,853,800,192,2,0,0,3,1,1,44.9,240,Good,142371
8900,54600,0.15,929,0,0,1,0,0,2,3,1,97.8,0,Good,78550
18800,111300,0.15,1752,0,352,2,0,0,3,5,1,87.3,0,Average,111900
28300,121100,0.19,1508,0,0,2,1,0,3,2,1,47.3,0,Good,142181
15500,34400,0.13,714,0,0,1,0,0,2,2,0,83.4,0,Good,14791
26300,88800,0.43,844,0,120,1,0,0,2,2,1,35.5,0,Good,104107
21900,79600,0.29,1040,0,0,1,1,0,3,1,1,49.8,0,Good,104078
14700,73100,0.15,1078,0,240,1,0,1,2,4,1,96.3,0,Good,99900
15300,55300,0.18,768,0,0,1,0,0,2,2,0,54.9,0,Poor,48995
25600,101900,0.2,1003,0,0,1,1,0,2,3,1,57.8,240,Average,125679
44500,169300,0.33,1578,0,132,2,0,1,3,3,1,6.6,440,Average,209189
20800,66400,0.59,720,0,0,1,0,1,2,2,1,55.2,0,Average,100000
9600,41900,0.3,960,0,0,1,0,0,3,2,0,95.8,0,Average,38560
25200,97100,0.19,1128,600,240,2,0,0,2,2,1,28.5,0,Good,125224
23500,111200,0.2,1680,300,280,1,1,0,4,3,1,37,0,Good,127643
14900,45100,0.16,480,0,0,1,0,0,1,2,0,60.8,0,Good,49093
17800,59200,0.16,780,0,0,1,0,0,2,3,1,85.2,0,Good,85000
38200,201800,0.41,1496,1241,0,3,0,1,3,2,1,2.7,462,Average,204273
17800,64400,0.16,832,0,0,1,0,0,2,2,0,88.5,0,Average,76339
16700,106100,0.18,1792,0,0,1,0,0,5,3,1,93.6,0,Good,119537
17600,64500,0.24,960,0,0,1,0,1,3,2,0,88.2,0,Good,110000
21000,109600,0.21,928,784,93,2,1,0,3,2,1,36.7,0,Good,130141
17000,59100,0.16,660,0,264,1,0,0,2,2,1,85.7,0,Good,83868
14400,20500,0.15,776,0,0,1,0,0,2,3,0,108.7,0,Average,43091
18800,66800,0.16,902,0,0,1,0,0,2,2,0,55.4,0,Good,71272
15100,48900,0.16,768,0,72,1,0,0,2,2,1,86,0,Good,30000
39600,220200,0.26,2406,0,342,2,1,3,3,3,1,85.7,0,Good,268957
15100,50600,0.17,752,0,0,1,0,0,2,3,1,58.5,0,Average,60308
16200,55000,0.15,1123,0,146,1,0,0,2,4,0,60.1,0,Good,76000
36100,196200,0.24,1468,700,256,2,1,1,3,3,1,6.6,660,Average,221721
19100,69100,0.19,1152,0,0,1,0,0,3,3,1,87.8,0,Average,86404
25500,113400,0.14,1324,0,120,1,0,0,3,4,1,100.5,0,Good,158403
36100,96700,0.33,1312,0,0,1,1,1,2,4,1,94.3,0,Good,170000
17700,124100,0.17,1120,0,0,2,0,0,3,2,1,1.2,0,Average,131500
4400,62400,0.1,1241,0,0,1,0,0,3,3,0,73.9,0,Good,72658
24900,115000,0.16,1265,0,0,1,0,0,3,3,0,90.9,0,Good,147280
22500,111400,0.15,1256,256,0,1,0,0,3,3,1,53.6,0,Good,125321
10200,67000,0.13,720,0,80,1,0,0,2,2,1,38.1,0,Good,86900
21400,84200,0.17,864,208,204,1,0,0,3,2,1,48.4,0,Good,108688
36300,122500,0.61,1737,250,0,1,1,2,3,3,1,56.2,400,Good,180000
21700,48900,0.31,480,0,240,1,0,0,1,3,1,38.6,0,Average,64588
16200,104700,0.1,906,0,0,1,0,1,2,3,1,80.7,0,Good,128695
23900,37300,0.3,1016,0,350,1,1,0,3,2,1,40.6,0,Poor,70372
16100,91400,0.15,1163,0,0,1,0,0,2,4,1,42.6,0,Average,94954
29300,147700,0.2,2275,0,0,1,1,1,4,5,1,90.9,0,Good,206192
20800,124800,0.13,1283,110,280,1,2,0,2,4,1,11.3,0,Average,128726
46900,155300,0.2,1572,0,0,2,1,1,3,2,1,1.4,400,Average,195523
21300,125400,0.27,992,556,684,2,0,0,3,2,1,44.4,480,Good,146952
20400,100700,0.2,1320,200,0,1,1,0,3,3,1,51.2,0,Average,93500
43900,198100,0.3,1569,1150,192,2,1,1,3,5,1,7.4,760,Average,238559
16900,84700,0.15,864,0,100,1,0,0,3,2,1,46.4,0,Good,120234
26300,95000,0.17,852,0,274,1,0,0,2,2,1,86.7,0,Good,130044
27300,83000,0.15,1014,0,0,1,0,0,2,3,1,61.8,0,Average,125679
33700,164700,0.21,2004,0,140,2,1,0,4,4,1,8.9,640,Average,195392
28500,56000,0.25,792,0,0,1,0,0,2,3,1,77.9,0,Average,104078
6100,111400,0.23,1094,0,155,2,0,0,3,2,1,1.1,0,Average,137900
26500,137100,0.23,1936,0,0,2,0,1,4,4,1,42.2,0,Good,161500
27800,88200,0.26,1176,0,0,1,1,0,3,2,1,50.5,336,Good,133515
13200,54600,0.22,784,668,375,1,0,0,2,2,0,29.4,0,Good,119280
10200,73500,0.3,1037,400,0,1,1,0,3,2,0,55.5,0,Good,90520
40000,170400,0.34,2137,900,189,3,0,1,3,3,1,42.3,660,Good,207546
15000,81100,0.16,868,868,0,1,1,0,2,2,1,62.9,0,Good,91314
18500,110500,0.19,1183,0,0,2,1,2,4,2,1,32.2,0,Good,126500
12200,58700,0.22,1131,0,0,1,0,0,3,3,0,87.9,0,Good,67749
21100,107400,0.19,948,500,90,1,0,1,2,2,1,34,0,Good,122635
29100,148000,0.19,1438,0,0,2,0,1,3,3,1,72.2,252,Good,179000
20000,80400,0.24,1215,0,0,1,1,0,3,3,1,66.9,0,Good,103096
26000,132100,0.17,1424,0,120,2,1,0,3,4,1,9.5,480,Average,143155
34800,145900,0.24,1350,416,120,3,1,1,3,3,1,8.5,560,Average,178341
59600,132100,0.4,1695,0,0,1,0,0,3,3,1,60.2,268,Average,176700
20200,97500,0.19,888,0,0,1,0,0,2,3,1,45.7,0,Good,123393
33400,92900,0.45,1224,400,416,1,1,1,2,4,1,69.4,0,Good,143088
27200,63500,0.19,906,120,0,1,0,0,3,2,1,88.5,357,Good,118325
5400,57200,0.12,1180,0,0,2,0,0,2,3,1,96.2,0,Good,85000
21300,93000,0.17,960,400,128,1,0,0,3,2,1,49.4,0,Good,118707
16500,78500,0.16,1156,0,168,1,0,0,3,2,1,90.7,0,Good,112306
6800,97200,0.24,1300,0,0,1,1,0,4,3,1,2.6,0,Average,108932
24300,103200,0.17,903,220,49,1,0,0,2,5,1,44.4,0,Good,119280
29300,121600,0.23,1114,0,0,1,0,0,3,3,1,47.4,0,Good,128726
9200,106700,0.17,1087,0,120,2,0,0,3,2,1,1.3,240,Average,133593
24700,120200,0.57,1179,0,0,1,0,0,3,2,1,45.9,0,Good,145317
19400,110800,0.18,1216,0,24,1,0,0,3,2,1,46.2,0,Good,119900
22500,106800,0.15,1080,0,0,1,0,0,3,2,1,58.4,0,Good,127772
23900,77500,0.24,1248,0,48,1,0,0,3,3,1,94.5,0,Good,114413
26400,126500,0.18,1361,0,128,2,1,0,3,3,1,13.3,480,Average,129776
28200,139400,0.24,1395,0,0,1,0,0,3,3,1,56.9,440,Good,185082
21200,62800,0.18,1030,0,192,1,0,0,3,1,0,60.6,0,Average,57744
29900,116400,0.19,1332,100,120,1,0,0,3,3,1,63.1,0,Good,136000
27000,99100,0.16,1064,0,108,1,0,1,2,3,1,94,0,Good,115861
9300,51900,0.28,1246,0,0,1,0,0,3,4,1,123,0,Average,49093
21500,98000,0.22,1034,0,148,1,0,0,3,2,1,7.4,0,Average,117133
26000,116000,0.18,969,494,0,1,1,1,3,2,1,44,0,Good,138443
41800,209800,0.28,2238,0,0,3,0,0,3,4,1,53.7,441,Good,253003
18800,57200,0.15,845,0,100,1,0,0,2,2,1,90.4,0,Good,69659
19800,83400,0.5,876,0,200,1,0,0,2,3,1,50.2,288,Good,112000
16700,54800,0.15,460,0,0,1,0,0,1,2,1,53.2,0,Good,51500
18900,97500,0.17,876,0,0,1,0,0,2,2,1,22.8,0,Average,114780
4400,40800,0.16,716,0,287,1,0,0,2,2,0,43,0,Good,46000
22400,50800,0.32,736,0,0,1,0,0,2,3,1,88.7,0,Good,74710
95100,275700,1.69,2559,700,702,4,0,2,4,4,1,20.7,0,Good,361502
14800,63800,0.16,887,0,0,1,0,0,2,2,1,66.4,0,Good,99241
18500,55900,0.15,816,0,0,1,0,0,2,2,1,84.3,0,Average,88458
24700,117800,0.32,1380,0,0,1,1,0,3,2,1,48.7,440,Good,163784
25400,67900,0.17,864,0,0,1,0,0,3,2,1,54.8,0,Average,121752
11500,124400,0.15,1094,0,155,2,0,0,3,2,1,1.3,0,Average,138173
19800,85800,0.13,995,0,0,1,0,1,2,2,1,67.7,0,Good,120983
27500,121700,0.17,1568,0,0,1,0,1,3,4,0,89,0,Good,149244
15300,63000,0.15,768,0,0,1,0,0,2,2,1,84.3,0,Good,41986
24600,133500,0.16,1497,300,0,2,0,1,4,3,1,77,0,Good,156903
34000,163800,0.26,1827,0,120,2,1,1,4,4,1,15.2,520,Average,219000
52500,355900,0.34,2634,460,0,3,1,3,3,4,1,54.5,0,Good,332581
46500,131000,0.28,1236,0,100,2,0,0,3,2,1,1.3,440,Average,166991
8300,126900,0.15,1172,0,60,2,0,0,3,2,1,3,400,Average,121000
18700,45000,0.15,797,0,0,1,0,0,2,2,0,102.4,0,Average,47712
17300,105400,0.14,1327,0,184,1,0,1,3,2,1,66.5,0,Good,116417
33600,80100,0.34,1030,0,128,1,0,1,2,4,0,69.1,0,Good,115000
33900,165200,0.44,1716,0,0,2,1,1,3,3,1,36.5,528,Good,173671
14500,61500,0.16,1233,0,0,1,0,0,3,3,1,80.5,0,Average,64888
17300,86700,0.16,1148,0,0,1,0,0,2,3,0,72.7,0,Good,106040
27300,82100,0.18,912,0,0,1,0,0,3,2,1,47.4,0,Good,92561
14300,58600,0.18,1129,0,0,1,0,0,3,3,0,108.6,0,Average,30848
26900,103200,0.17,1582,500,0,1,1,1,4,5,1,88.3,0,Good,122000
14900,91000,0.19,1080,0,0,2,0,0,3,3,1,54.5,0,Good,100160
5900,122400,0.16,1391,0,140,1,1,0,4,2,1,2.5,0,Average,134864
4400,53300,0.16,936,0,112,1,0,0,2,2,0,45.1,0,Good,78000
17900,58700,0.24,798,0,0,1,0,0,2,2,0,66.7,0,Good,80591
23700,67800,0.16,672,0,0,1,0,0,2,2,1,58.2,0,Good,102000
21300,78300,0.17,864,0,312,1,0,0,3,2,1,49.4,0,Good,112600
26100,78700,0.15,896,220,0,1,0,0,2,3,1,94.4,0,Good,116417
36600,108700,0.29,1355,0,0,1,0,0,3,2,1,59.8,360,Good,124697
12900,68200,0.17,912,288,80,1,0,0,3,3,0,40.8,0,Good,78451
26200,91600,0.78,864,400,0,1,0,2,2,2,1,52.7,0,Average,111342
19900,91100,0.19,1120,0,0,1,0,1,2,4,1,54.3,0,Good,129900
15800,92400,0.23,768,300,220,1,0,0,2,2,1,51.6,0,Good,104594
15500,69100,0.15,1380,0,0,1,0,0,3,3,0,102.6,0,Average,77120
3000,81600,0.05,1232,0,0,2,0,0,3,6,0,96.5,0,Average,65842
21900,106900,0.16,1300,0,0,1,1,0,3,2,1,17.5,264,Average,117371
14000,51000,0.16,864,0,120,1,0,0,2,3,0,87.8,0,Average,56876
5800,41200,0.15,1064,0,0,1,0,0,4,6,0,94,0,Average,58814
16600,82800,0.16,816,300,0,1,0,0,2,2,1,56.2,0,Good,98500
15000,123900,0.16,1022,722,64,2,0,0,3,2,1,1.2,0,Average,128822
14100,56200,0.14,1051,0,0,1,0,0,3,2,1,96.1,0,Good,55000
14200,46900,0.14,696,0,0,1,0,0,2,2,1,87.2,0,Good,68210
18500,71700,0.3,1404,0,0,1,0,0,4,3,0,49.9,0,Good,104078
24800,99200,0.17,1195,0,160,1,0,0,2,3,1,66.5,0,Good,143135
35300,71700,0.24,1138,0,0,1,0,1,3,3,0,89.3,0,Average,117371
22400,73700,0.18,912,0,0,1,0,0,2,2,1,54,0,Average,65100
21300,97200,0.19,954,400,120,1,0,0,3,2,1,42.7,0,Good,110860
15900,57700,0.13,838,0,0,1,0,0,2,2,1,59.5,0,Good,79048
13700,83700,0.19,874,0,240,1,0,0,3,2,1,50.5,0,Good,93515
20000,76800,0.22,864,0,0,1,0,0,2,2,1,53.2,288,Average,102500
20700,57700,0.14,612,0,180,1,0,0,2,2,1,58.9,0,Average,83459
23500,107100,0.25,1312,0,192,1,0,1,3,2,1,36.8,0,Good,124697
20400,88700,0.19,864,360,0,1,0,1,3,2,1,43.4,0,Good,115415
19000,93200,0.15,924,0,0,1,0,1,3,2,1,47.9,0,Good,110951
22800,112700,0.24,1122,550,0,2,0,0,4,2,1,43.8,0,Good,147280
25100,99200,0.19,954,360,100,1,1,0,3,2,1,36.7,0,Good,118573
19300,52200,0.16,823,0,0,1,0,0,2,2,0,59.9,0,Good,39275
16100,49200,0.15,682,0,0,1,0,0,2,2,0,58.3,0,Poor,60000
36100,174700,0.24,1679,0,0,2,0,2,3,4,1,78.3,768,Good,182259
35300,73200,0.24,778,0,0,1,0,0,2,2,1,79.3,0,Good,111531
14800,52300,0.17,620,0,96,1,0,0,2,2,1,53.4,0,Average,66797
31600,108000,0.73,1607,0,0,2,0,0,3,4,1,92.8,0,Good,142371
27900,118300,0.18,1455,300,0,1,1,1,3,3,1,77.2,220,Good,196000
10800,42800,0.15,768,0,0,1,0,0,2,2,0,86,0,Average,60876
17700,81700,0.22,876,0,0,1,0,0,3,2,0,52.5,0,Good,76339
45000,167900,0.19,1824,0,0,1,1,1,3,5,1,98.5,0,Good,219379
16600,67400,0.16,672,400,0,2,0,0,3,4,0,55.4,0,Average,81110
25500,110700,0.21,1320,400,296,1,1,1,3,3,1,48,0,Good,149244
12200,53700,0.12,774,0,0,1,0,0,2,2,1,83.8,0,Good,84441
21400,87800,0.17,924,0,0,1,0,0,3,2,1,49.4,0,Good,113363
18700,84900,0.22,864,140,165,1,0,0,3,2,1,49.9,0,Good,114879
18900,60500,0.16,1380,0,0,1,0,0,3,3,0,98.2,0,Good,99900
45900,146300,0.29,1548,686,0,2,1,1,3,3,1,54.4,440,Good,187985
31700,140500,0.34,1921,600,0,1,1,1,3,4,1,40.6,462,Good,212081
17600,126100,0.13,1382,0,120,2,0,0,3,3,1,14.8,400,Average,146298
27700,119700,0.17,1980,0,0,1,0,1,5,3,1,88.2,0,Good,185000
7100,39000,0.12,788,0,0,1,0,0,2,3,0,82.4,0,Good,72999
16000,68400,0.15,1020,0,0,1,0,0,2,4,1,87.8,0,Good,75578
19500,78700,0.16,1004,0,0,1,0,0,3,2,1,66.4,0,Good,105205
15500,104100,0.16,1587,0,0,1,1,0,4,3,1,54,0,Good,124206
26000,73200,0.17,742,300,0,1,0,0,2,3,1,68.9,0,Good,116744
18400,41700,0.53,730,0,0,1,0,0,2,2,0,57.2,0,Poor,16500
16700,55900,0.16,667,0,0,1,0,0,2,2,1,61.6,168,Good,63142
28900,76600,0.16,844,0,171,1,0,0,2,2,1,57,0,Good,116548
25300,115100,0.16,1234,0,168,2,0,1,3,3,1,77.5,0,Good,161027
14400,60100,0.17,743,0,0,1,0,0,2,3,0,83.5,0,Good,77293
26300,202900,0.2,1808,0,260,2,1,1,4,2,1,2.4,472,Average,185122
27400,95700,0.53,948,0,216,1,0,1,3,2,1,32.3,0,Good,142181
20200,83300,0.17,912,0,100,1,0,0,3,2,1,36.7,0,Good,109414
16100,105100,0.15,1986,0,0,2,0,0,3,3,1,65.6,0,Average,125321
18400,77700,0.18,1148,0,0,1,0,1,2,4,1,88,112,Good,93179
14300,122100,0.14,872,0,240,1,1,0,3,2,1,9.6,440,Average,137949
24500,50200,0.16,606,0,0,1,0,0,1,3,1,86,0,Good,68927
14700,57800,0.14,983,0,0,1,0,0,3,3,0,89.5,0,Average,67751
4500,77900,0.16,1070,0,0,1,0,0,3,2,1,10.5,0,Average,120019
33400,99100,0.41,936,0,0,2,0,0,3,2,1,47.8,0,Good,112915
7300,117900,0.3,1104,0,0,2,0,0,3,2,1,4,0,Average,106500
40400,150200,0.16,1460,384,616,1,1,0,3,2,1,47.5,264,Good,162435
30100,130000,1.34,960,700,632,2,0,1,3,2,0,48.3,0,Good,156399
27700,94100,0.19,1145,0,0,1,0,0,2,3,1,53.4,0,Good,113268
55500,234400,0.26,2394,0,144,2,1,1,4,3,1,4.6,716,Average,277633
16700,67000,0.31,672,0,0,1,0,0,2,2,1,51.9,0,Good,80513
27400,79100,0.34,875,400,100,2,1,1,2,2,1,24.7,0,Good,130141
15600,45800,0.15,1093,0,0,1,0,0,3,4,0,139.1,0,Average,78900
22300,77600,0.26,1210,0,0,1,0,0,3,2,1,56.9,276,Good,93278
11000,42700,0.17,624,0,80,1,0,0,1,3,1,88.4,0,Good,81110
23200,91700,0.24,948,0,0,2,0,0,2,2,1,49.6,0,Good,112789
40000,242600,0.26,1612,630,240,2,1,1,3,3,1,59.6,0,Good,288237
15000,109400,0.16,1136,0,190,1,1,2,3,3,1,55.6,0,Good,118573
16200,70500,0.14,984,0,0,1,0,0,2,2,1,87.6,0,Good,91580
22200,110800,0.23,1444,814,260,2,0,1,4,3,1,42.4,0,Good,151724
16600,105900,0.17,1652,0,446,1,1,1,2,3,1,70.3,0,Good,115000
21200,56700,0.23,894,0,0,1,1,0,2,2,1,96.6,0,Average,85796
30000,93300,0.26,1084,650,144,1,1,0,2,3,1,55.7,264,Average,131587
28300,145500,0.18,2040,0,100,1,1,0,3,4,1,84.4,0,Good,190847
15200,64600,0.16,770,360,0,1,0,0,2,2,1,67.9,0,Good,101820
34700,150400,0.28,1650,200,176,1,1,2,3,3,1,68.9,0,Good,196865
7700,57600,0.11,652,0,200,1,0,0,1,3,1,47.7,0,Good,62660
27000,72800,0.16,976,0,0,1,1,1,2,2,1,62.5,220,Average,110860
18400,105400,0.15,1413,500,0,1,0,1,4,2,0,85.3,0,Good,112504
