,economy,time,EG.ELC.ACCS.ZS,EG.ELC.COAL.ZS,EG.ELC.FOSL.ZS,EG.ELC.HYRO.ZS,EG.ELC.LOSS.ZS,EG.ELC.NGAS.ZS,EG.ELC.NUCL.ZS,EG.ELC.PETR.ZS,EG.ELC.RNWX.ZS,EN.ATM.GHGT.KT.CE,EN.ATM.METH.KT.CE,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,NV.AGR.TOTL.ZS,NV.IND.MANF.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.ZS,NY.GDP.MKTP.CD,SP.DYN.LE00.FE.IN,SP.DYN.TFRT.IN,SP.POP.TOTL,SP.URB.TOTL,year,gdp_per_capita,ghge_per_capita,c2e_per_capita,urb_pop_pct
13166,WLD,YR1998,73.4065000731489,37.822004381503,62.5738184865721,17.6634096004334,8.63563941428689,16.5429817506375,16.9850054717891,8.20883235443166,1.25194093398807,31860170.0,6758180.0,23.3471824871103,22.6444364964468,5.46166143008183,17.313582844456,28.8902291551206,59.9082362001487,31400579789560.5,69.4526362686773,2.74635924146024,5954005906.0,2734083724.0,1998,5273.857682592715,0.005351047765655341,0.0011350643762697,45.920070741696705
13167,WLD,YR1999,74.7085208794366,37.6471963139224,62.8839049647958,17.2140827101308,8.68360348676141,17.4485620593987,17.0944421193223,7.7881465914747,1.3252179311442,32018180.0,6808320.0,23.6859534860638,22.8265831315261,5.21240814652985,17.05863199909,28.7687349073354,60.1295655786114,32582769394308.2,69.6308569016787,2.71683205091056,6034491620.0,2793614896.0,1999,5399.422427950642,0.0053058620371404215,0.0011282342289506734,46.294121724209134
13168,WLD,YR2000,78.7360653258302,38.6355311233739,63.6850696591792,16.8079802974436,8.85373928408714,17.7466184258828,16.7129971766146,7.3029201099225,1.40055427673465,32781530.0,6859450.0,25.9615560555862,25.0298285166935,4.86015397661821,16.9375670553673,29.0190254323242,60.1729229446131,33651286409460.8,69.8675329874533,2.69616441988283,6114332517.0,2853933204.0,2000,5503.672938280402,0.005361424147093045,0.0011218640760750761,46.676120346171224
13169,WLD,YR2001,78.2216584190795,38.4475451840774,64.0878403522666,16.3093639407225,8.62298481889227,18.5898038149918,16.8874272496245,7.05049135319742,1.43708168635678,33235280.0,6913060.0,25.2715809515932,24.6105559439684,4.7682580155426,16.3461950381698,28.2166985414431,61.1981542640546,33447171142102.4,70.1111239298888,2.66634821840589,6193671694.0,2918728928.0,2001,5400.216994792233,0.005366006085242787,0.0011161489245057811,47.12437262096831
13170,WLD,YR2002,79.3976070332818,38.7510861135328,64.6151790119997,16.106360243618,8.96889102954148,19.1331304721598,16.3933886224432,6.73096242630702,1.56038526426701,33702380.0,6973040.0,25.2533803995228,24.2594910485948,4.6602908254492,15.9885809917045,27.8348809041001,61.7336078748626,34724863149603.8,70.3379108490835,2.64354867187414,6272753009.0,2987277082.0,2002,5535.825035639276,0.005372821144343578,0.0011116394970430439,47.62306243708184
13171,WLD,YR2003,80.008765362592,39.8313508859405,65.8272207464298,15.6084555923286,8.64741616809956,19.4164765118329,15.6649191068749,6.57939334865646,1.65161872805456,34882860.0,7062720.0,25.7851043054857,24.8991207335748,4.52871655952574,15.860220051644,27.8989714529484,61.7616751303749,38947772548138.2,70.573203378147,2.62489141858462,6351882385.0,3056824649.0,2003,6131.689818456581,0.005491735817145487,0.0011119097571262728,48.12470483110181
13172,WLD,YR2004,80.1605142546096,39.3801857974741,65.4959561918561,15.8931872855719,8.83337185190672,19.9448017409037,15.5604463861662,6.17096865347831,1.79690542616949,36252860.0,7168060.0,27.4094000349695,26.4982630316355,4.43719736166036,17.2552012832349,28.2539930123917,61.3621433171299,43883083091157.9,70.8954033474296,2.60862555515901,6431551721.0,3127696928.0,2004,6823.094176149268,0.005636720588225835,0.0011145148652999537,48.63051816543108
13173,WLD,YR2005,80.1614476125007,39.8559095523396,65.7576831709059,15.8975138308872,8.86480815219648,20.1501617321139,15.0797604167818,5.75161188645248,1.95753176161838,37346260.0,7225520.0,28.5316744496761,27.4364059676153,4.06660673693323,17.061662862094,28.5749995468579,61.3823377494605,47535251474132.3,71.162241690771,2.58805426677351,6511748273.0,3199838164.0,2005,7299.921538925296,0.005735212485846656,0.0011096129176183835,49.13946347200881
13174,WLD,YR2006,81.2510941569122,40.5145658114162,66.0845919902758,15.8742506272491,8.65272174102329,20.5025500250022,14.6408213834074,5.0674761538575,2.12591760238364,38444310.0,7359290.0,29.8012389390876,28.5576523516185,3.81092837742576,17.0213478624021,28.8427097176404,61.3152595640088,51521184805861.8,71.5062041318501,2.57716724151475,6592734559.0,3272638472.0,2006,7814.842891790359,0.005831314708024786,0.001116272759678083,49.640076400958584
13175,WLD,YR2007,82.2047055736271,41.1375384536037,67.2041607616941,15.4020361312233,8.47765984773273,21.1955852013297,13.6700432335713,4.87103710676071,2.34988814806361,39738280.0,7473250.0,30.050064885234,28.9148751621832,3.76515854268763,16.8785060816905,28.5828231122441,61.6495636386319,58058524328165.7,71.8441375436275,2.56708548869299,6674203697.0,3345860486.0,2007,8698.944018484563,0.005954010666150635,0.001119721593657557,50.13123119847147
13176,WLD,YR2008,82.2843199683589,40.634612377612,66.8277724269968,15.7383321507034,8.40256909312112,21.595506509866,13.4828113371522,4.5976535395188,2.68068728114828,40139260.0,7585770.0,30.7159781997252,30.068829782226,3.74335193261223,16.4436683681288,28.4039712832471,61.9734519623426,63708739202937.0,72.1606301952846,2.55493121252382,6757020825.0,3421472215.0,2008,9428.524915481077,0.005940378317540556,0.0011226500844771334,50.635809828216715
